Date;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-09-27T04:00:00.0/2019-09-27T05:00:00.0;13.7162;4.4247;1.0851;3.3397;23.8844;4.4247;1.0851;3.3397;23.8844;0.8333
2019-09-27T05:00:00.0/2019-09-27T06:00:00.0;199.0068;107.7749;66.9869;40.7880;417.8990;107.7749;66.9869;40.7880;417.8990;0.8417
2019-09-27T06:00:00.0/2019-09-27T07:00:00.0;421.7618;278.5817;212.4917;66.0899;676.5844;278.5817;212.4917;66.0899;676.5844;1.0000
2019-09-27T07:00:00.0/2019-09-27T08:00:00.0;613.9510;437.8109;359.1875;78.6234;791.5279;437.8109;359.1875;78.6234;791.5279;1.0000
2019-09-27T08:00:00.0/2019-09-27T09:00:00.0;762.4478;563.5732;478.5479;85.0253;850.6326;563.5732;478.5479;85.0253;850.6326;1.0000
2019-09-27T09:00:00.0/2019-09-27T10:00:00.0;857.1040;643.5541;554.8796;88.6745;877.9013;628.7683;505.8961;122.8722;801.9394;1.0000
2019-09-27T10:00:00.0/2019-09-27T11:00:00.0;891.4431;671.0810;580.4059;90.6751;883.0274;639.0983;491.5210;147.5773;747.6459;1.0000
2019-09-27T11:00:00.0/2019-09-27T12:00:00.0;863.1016;644.4458;554.2096;90.2362;870.7559;447.9910;128.9610;319.0299;202.1433;1.0000
2019-09-27T12:00:00.0/2019-09-27T13:00:00.0;773.9916;565.1511;473.5403;91.6108;828.9880;409.8489;120.6965;289.1524;210.7528;1.0000
2019-09-27T13:00:00.0/2019-09-27T14:00:00.0;630.1695;439.5656;347.3637;92.2019;745.2632;354.8070;148.8602;205.9468;313.8044;1.0000
2019-09-27T14:00:00.0/2019-09-27T15:00:00.0;441.4228;280.5915;199.0791;81.5124;604.4814;213.3289;57.8087;155.5202;181.9426;1.0000
2019-09-27T15:00:00.0/2019-09-27T16:00:00.0;220.6028;112.8572;62.0698;50.7874;351.9154;108.2242;52.8908;55.3335;311.1512;1.0000
2019-09-27T16:00:00.0/2019-09-27T17:00:00.0;22.1393;6.9943;1.5527;5.4416;27.5841;6.9943;1.5527;5.4416;27.5841;0.8250
2019-09-27T17:00:00.0/2019-09-27T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T18:00:00.0/2019-09-27T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T19:00:00.0/2019-09-27T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T20:00:00.0/2019-09-27T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T21:00:00.0/2019-09-27T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T22:00:00.0/2019-09-27T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T23:00:00.0/2019-09-28T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T00:00:00.0/2019-09-28T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T01:00:00.0/2019-09-28T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T02:00:00.0/2019-09-28T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T03:00:00.0/2019-09-28T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T04:00:00.0/2019-09-28T05:00:00.0;11.9311;3.2336;0.3649;2.8687;8.4218;1.2414;0.0000;1.2414;0.0000;0.8500
2019-09-28T05:00:00.0/2019-09-28T06:00:00.0;193.6324;89.1881;39.0388;50.1494;242.2072;45.0553;0.2514;44.8039;1.1815;0.8417
2019-09-28T06:00:00.0/2019-09-28T07:00:00.0;416.3357;246.8076;148.7407;98.0670;477.7717;117.5565;12.4814;105.0751;39.3404;1.0000
2019-09-28T07:00:00.0/2019-09-28T08:00:00.0;608.3807;400.4331;270.5822;129.8509;601.4110;168.5714;13.1397;155.4317;27.5193;1.0000
2019-09-28T08:00:00.0/2019-09-28T09:00:00.0;756.6510;523.3455;371.7233;151.6222;666.0292;284.4937;33.0560;251.4377;57.1215;1.0000
2019-09-28T09:00:00.0/2019-09-28T10:00:00.0;851.0141;602.4601;436.8390;165.6211;696.4406;424.5844;111.2497;313.3347;176.5812;1.0000
2019-09-28T10:00:00.0/2019-09-28T11:00:00.0;885.0135;630.3230;457.7195;172.6035;701.8294;299.3187;29.0025;270.3162;44.5738;1.0000
2019-09-28T11:00:00.0/2019-09-28T12:00:00.0;856.3095;603.9647;430.9372;173.0275;682.7411;197.6530;7.0617;190.5913;11.4542;1.0000
2019-09-28T12:00:00.0/2019-09-28T13:00:00.0;766.8387;526.9261;364.2119;162.7143;643.9380;327.5043;75.6742;251.8301;132.5413;1.0000
2019-09-28T13:00:00.0/2019-09-28T14:00:00.0;622.6826;406.3590;265.6441;140.7149;576.9178;193.8412;24.6019;169.2393;58.5587;1.0000
2019-09-28T14:00:00.0/2019-09-28T15:00:00.0;433.6514;254.1934;146.7077;107.4857;452.5184;208.7952;67.8894;140.9058;201.7071;1.0000
